Particulars,03-2008,03-2009,03-2010,03-2011,03-2012,03-2013
Total,16026.00,16183.00,NA,16337.00,16443.00,16537.00
Andaman and Nicobar Islands,16.00,16.00,NA,16.00,16.00,16.00
Andhra Pradesh,2118.00,2124.00,NA,2119.00,2126.00,2132.00
Arunachal Pradesh,9.00,9.00,NA,9.00,9.00,9.00
Assam,185.00,189.00,NA,190.00,190.00,189.00
Bihar,214.00,213.00,NA,216.00,218.00,221.00
Chandigarh,78.00,78.00,NA,78.00,78.00,78.00
Chhattisgarh,266.00,272.00,NA,273.00,276.00,272.00
Dadar Nagar Haveli,2.00,2.00,NA,2.00,2.00,2.00
Delhi,72.00,77.00,NA,82.00,86.00,86.00
Goa,36.00,38.00,NA,38.00,40.00,40.00
Gujarat,1231.00,1243.00,NA,1246.00,1249.00,1249.00
Haryana,368.00,373.00,NA,374.00,376.00,376.00
Himachal Pradesh,184.00,184.00,NA,182.00,183.00,183.00
Jammu and Kashmir,129.00,129.00,NA,118.00,118.00,118.00
Jharkhand,102.00,114.00,NA,116.00,123.00,129.00
Kartanaka,1404.00,1416.00,NA,1436.00,1439.00,1446.00
Kerala,1078.00,1082.00,NA,1094.00,1100.00,1103.00
Madhya Pradesh,909.00,922.00,NA,944.00,950.00,962.00
Maharashtra,1222.00,1231.00,NA,1252.00,1254.00,1266.00
Manipur,39.00,39.00,NA,39.00,39.00,39.00
Meghalaya,32.00,33.00,NA,34.00,35.00,34.00
Mizoram,36.00,36.00,NA,35.00,35.00,35.00
Nagaland,144.00,181.00,NA,224.00,236.00,251.00
Orissa,456.00,460.00,NA,456.00,456.00,460.00
Puducherry,31.00,33.00,NA,49.00,55.00,51.00
Punjab,522.00,526.00,NA,527.00,526.00,528.00
Rajasthan,1112.00,1115.00,NA,1127.00,1156.00,1181.00
Sikkim,39.00,38.00,NA,38.00,38.00,39.00
Tamil Nadu,2237.00,2243.00,NA,2251.00,2257.00,2261.00
Tripura,36.00,37.00,NA,37.00,37.00,37.00
Uttar Pradesh,1282.00,1286.00,NA,1291.00,1298.00,1297.00
Uttarakhand,101.00,104.00,NA,104.00,105.00,106.00
West Bengal,336.00,340.00,NA,340.00,337.00,341.00
